% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	1	3	7	1	0	85
0.027	1	1	3	8	1	0	85
0.028	1	1	3	9	1	0	85
0.029	1	1	3	10	1	0	85
0.03	1	1	4	1	1	0	85
0.031	1	1	4	2	1	0	85
0.032	1	1	4	3	1	0	85
0.033	1	1	4	4	1	0	85
0.034	1	1	4	5	1	0	85
0.035	1	1	4	6	1	0	85
0.036	1	1	4	7	1	0	85
0.037	1	1	4	8	1	0	85
0.038	1	1	4	9	1	0	85
0.039	1	1	4	10	1	0	85
0.04	1	1	5	1	1	0	85
0.041	1	1	5	2	1	0	85
0.042	1	1	5	3	1	0	85
0.043	1	1	5	4	1	0	85
0.044	1	1	5	5	1	0	85
0.045	1	1	5	6	1	0	85
0.046	1	1	5	7	1	0	85
0.047	1	1	5	8	1	0	85
0.048	1	1	5	9	1	0	85
0.049	1	1	5	10	1	0	85
0.05	1	1	6	1	1	0	85
0.051	1	1	6	2	1	0	85
0.052	1	1	6	3	1	0	85
0.053	1	1	6	4	1	0	85
0.054	1	1	6	5	1	0	85
0.055	1	1	6	6	1	0	85
0.056	1	1	6	7	1	0	85
0.057	1	1	6	8	1	0	85
0.058	1	1	6	9	1	0	85
0.059	1	1	6	10	1	0	85
0.06	1	1	7	1	1	0	85
1.067	1	1	107	8	1	0	85
1.068	1	1	107	9	1	0	85
1.069	1	1	107	10	1	0	85
1.07	1	1	108	1	1	0	85
1.071	1	1	108	2	1	0	85
1.072	1	1	108	3	1	0	85
1.073	1	1	108	4	1	0	85
1.074	1	1	108	5	1	0	85
1.075	1	1	108	6	1	0	85
1.076	1	1	108	7	1	0	85
1.077	1	1	108	8	1	0	85
1.078	1	1	108	9	1	0	85
1.079	1	1	108	10	1	0	85
1.08	1	1	109	1	1	0	85
1.081	1	1	109	2	1	0	85
1.082	1	1	109	3	1	0	85
1.083	1	1	109	4	1	0	85
1.084	1	1	109	5	1	0	85
1.085	1	1	109	6	1	0	85
1.086	1	1	109	7	1	0	85
1.087	1	1	109	8	1	0	85
1.088	1	1	109	9	1	0	85
1.089	1	1	109	10	1	0	85
1.09	1	1	110	1	1	0	85
1.091	1	1	110	2	1	0	85
1.092	1	1	110	3	1	0	85
1.093	1	1	110	4	1	0	85
1.094	1	1	110	5	1	0	85
1.095	1	1	110	6	1	0	85
1.096	1	1	110	7	1	0	85
1.097	1	1	110	8	1	0	85
1.098	1	1	110	9	1	0	85
1.099	1	1	110	10	1	0	85
1.1	1	1	111	1	1	0	85
1.101	1	1	111	2	1	0	85
